time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973092,5.078398982,6.678751315,101350.5496,0.067415409,-0.046958
973092,2.648461347,3.817316239,101713.4207,0.056911339,-0.046958
973092,2.619549908,4.254964592,101682.3175,0.042484737,-0.046958
973092,8.054900494,9.813534863,100978.2751,0,-0.046958
973098,3.478632675,5.540284006,101278.6987,1,-0.023309
973098,4.781024178,7.799770849,101207.0889,0.925526537,-0.023309
973098,3.097277024,4.909256149,101338.9763,0.668373483,-0.023309
973098,2.4667323,4.561754633,101447.2348,0.654728369,-0.023309
973098,2.806785896,5.538830025,101387.4394,0.624853823,-0.023309
973098,5.66764165,9.197046818,101128.4869,0.582631894,-0.023309
973098,2.285003253,4.080486843,101503.6547,0.46780441,-0.023309
973098,4.540095518,6.181489732,101080.5059,0.445078097,-0.023309
973098,5.988420952,8.464240275,101009.1372,0.424268478,-0.023309
973098,3.265238719,6.67293539,101322.8219,0.40302331,-0.023309
973098,3.060105173,4.96886938,101394.1905,0.315545264,-0.023309
973098,4.542848988,6.345789612,101143.4357,0.306709763,-0.023309
973098,7.407834948,9.534370466,100928.3653,0.255047385,-0.023309
973098,6.054504242,9.832436619,101051.8138,0.228715459,-0.023309
973098,2.214789758,3.831856052,101552.6001,0.179782517,-0.023309
973098,3.519934731,7.228356223,101255.311,0.102612387,-0.023309
973098,4.822326235,7.078596155,101212.6344,0.067415409,-0.023309
973098,1.942196187,4.252056629,101589.9722,0.056911339,-0.023309
973098,1.877489633,4.403270678,101535.9634,0.042484737,-0.023309
973098,8.344014887,10.10142315,100840.8422,0,-0.023309
973104,2.563103764,6.008465964,101230.2355,1,-0.16851
973104,3.760863392,8.422074819,101143.6768,0.925526537,-0.16851
973104,2.547959677,5.370168201,101292.9242,0.668373483,-0.16851
973104,1.888503514,5.054654273,101386.7161,0.654728369,-0.16851
973104,2.104650941,5.943036809,101319.4463,0.624853823,-0.16851
973104,4.636466982,9.801903013,101051.5727,0.582631894,-0.16851
973104,1.89538719,4.641723601,101446.2704,0.46780441,-0.16851
973104,3.489646557,6.863406932,101045.3038,0.445078097,-0.16851
973104,4.781024178,9.250844124,100956.5752,0.424268478,-0.16851
